id,eng_word,level,difficulty_level,first_letter,tur_word,sample_sentence_1,sample_sentence_2,picture,audio_url
295,effort,A2,3,e,çaba,Your effort made the project better.,She put a lot of effort into the exam.,,https://api.dictionaryapi.dev/media/pronunciations/en/effort-us.mp3
296,fact,A2,3,f,gerçek/olgu,This fact surprised the class.,I wrote one fact in my notebook.,,https://api.dictionaryapi.dev/media/pronunciations/en/fact-us.mp3
297,fail,A2,3,f,başarısız olmak,I saw him fail near the park.,The crowd waited for the show to fail.,,https://api.dictionaryapi.dev/media/pronunciations/en/fail-us.mp3
298,fairly,A2,3,f,oldukça/adilce,He answered fairly when the teacher asked.,The machine moved fairly across the floor.,,https://api.dictionaryapi.dev/media/pronunciations/en/fairly-us.mp3
299,fall,A2,3,f,düşmek/sonbahar,Leaves fall from the trees in autumn.,Fall is my favorite season.,,https://api.dictionaryapi.dev/media/pronunciations/en/fall-1-au.mp3
300,familiar,A2,3,f,tanıdık,The familiar answer was easy to understand.,We found a familiar place to rest.,,https://api.dictionaryapi.dev/media/pronunciations/en/familiar-us.mp3
301,fancy,A2,3,f,süslü/beğenmek,The report described the fancy clearly.,We noticed the fancy during the project.,,https://api.dictionaryapi.dev/media/pronunciations/en/fancy-us.mp3
302,fantastic,A2,3,f,harika,This fantastic example helped the students.,The report used a fantastic idea clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/fantastic-us.mp3
303,far,A2,3,f,uzak,They walked far through the quiet hall.,The student listened far to the story.,,https://api.dictionaryapi.dev/media/pronunciations/en/far-1-uk.mp3
304,fare,A2,3,f,ücret,The bus fare is two lira.,She asked about the train fare.,,https://api.dictionaryapi.dev/media/pronunciations/en/fare-us.mp3
305,fascinating,A2,3,f,büyüleyici,It was a fascinating day for a walk.,He gave me a fascinating smile after class.,,https://api.dictionaryapi.dev/media/pronunciations/en/fascinating-us.mp3
306,fashion,A2,3,f,moda,She follows fashion magazines.,That jacket is in fashion now.,,https://api.dictionaryapi.dev/media/pronunciations/en/fashion-us.mp3
307,gallery,A2,3,g,galeri,They waited near the gallery after lunch.,She took a photo of the gallery in town.,,/uploads/audio/words/gallery.mp3
308,garage,A2,3,g,garaj,The garage was quiet in the morning.,We found the garage at the end of the street.,,https://api.dictionaryapi.dev/media/pronunciations/en/garage-au.mp3
309,garlic,A2,3,g,sarımsak,We saw a garlic pattern in the results.,His garlic style made the story stronger.,,https://api.dictionaryapi.dev/media/pronunciations/en/garlic-uk.mp3
310,gas,A2,3,g,gaz/benzin,The car needs gas before the trip.,The gas from the stove smelled strange.,,https://api.dictionaryapi.dev/media/pronunciations/en/gas-us.mp3
311,gate,A2,3,g,kapı,The gate was quiet in the morning.,We found the gate at the end of the street.,,https://api.dictionaryapi.dev/media/pronunciations/en/gate-au.mp3
312,gather,A2,3,g,toplamak,I saw him gather near the park.,The crowd waited for the show to gather.,,https://api.dictionaryapi.dev/media/pronunciations/en/gather-us.mp3
313,gender,A2,3,g,cinsiyet,The gender was part of the story.,She noticed the gender during the lesson.,,/uploads/audio/words/gender.mp3
314,generation,A2,3,g,nesil,My generation uses phones every day.,Each generation has different music.,,https://api.dictionaryapi.dev/media/pronunciations/en/generation-us.mp3
315,gentle,A2,3,g,nazik,The gentle answer was easy to understand.,We found a gentle place to rest.,,https://api.dictionaryapi.dev/media/pronunciations/en/gentle-us.mp3
316,given,A2,3,g,verilen,The given room felt calm and safe.,She chose a given jacket for the trip.,,https://api.dictionaryapi.dev/media/pronunciations/en/given-us.mp3
317,globe,A2,3,g,küre,He pointed to the globe on the page.,The globe appeared near the end of the story.,,https://api.dictionaryapi.dev/media/pronunciations/en/globe-au.mp3
318,half-price,A2,3,h,yarı fiyat,I bought a half-price ticket online.,The shop sells half-price shoes today.,,/uploads/audio/words/half_price.mp3
319,ham,A2,3,h,jambon,She ate a ham after school.,He bought a fresh ham at the market.,,https://api.dictionaryapi.dev/media/pronunciations/en/ham-1-uk.mp3
320,handbag,A2,3,h,el çantası,He pointed to the handbag on the page.,The handbag appeared near the end of the story.,,/uploads/audio/words/handbag.mp3
321,handicapped,A2,3,h,engelli,The handicapped answer was easy to understand.,We found a handicapped place to rest.,,/uploads/audio/words/handicapped.mp3
322,handle,A2,3,h,tutmak/sap,Hold the cup by its handle.,She can handle the task alone.,,https://api.dictionaryapi.dev/media/pronunciations/en/handle-au.mp3
323,happily,A2,3,h,mutlu şekilde,They walked happily through the quiet hall.,The student listened happily to the story.,,https://api.dictionaryapi.dev/media/pronunciations/en/happily-us.mp3
324,happiness,A2,3,h,mutluluk,The happiness changed the final result.,The story included a clear happiness.,,https://api.dictionaryapi.dev/media/pronunciations/en/happiness-us.mp3
325,hardly,A2,3,h,neredeyse hiç,She spoke hardly during the meeting.,The team worked hardly on the final task.,,https://api.dictionaryapi.dev/media/pronunciations/en/hardly-us.mp3
326,harm,A2,3,h,zarar,We need to harm the plan carefully.,He decided to harm it after the meeting.,,https://api.dictionaryapi.dev/media/pronunciations/en/harm-us.mp3
327,harmful,A2,3,h,zararlı,The harmful answer was easy to understand.,We found a harmful place to rest.,,https://api.dictionaryapi.dev/media/pronunciations/en/harmful-us.mp3
328,harmony,A2,3,h,uyum,The singers performed in harmony.,The colors worked together in harmony.,,https://api.dictionaryapi.dev/media/pronunciations/en/harmony-us.mp3
329,id,A2,3,i,kimlik,He pointed to the id on the page.,The id appeared near the end of the story.,,https://api.dictionaryapi.dev/media/pronunciations/en/id-1-us.mp3
330,ill,A2,3,i,hasta,The ill answer was easy to understand.,We found an ill place to rest.,,https://api.dictionaryapi.dev/media/pronunciations/en/ill-us.mp3
331,illegal,A2,3,i,yasa dışı,The illegal detail changed the whole plan.,She gave an illegal answer in class.,,/uploads/audio/words/illegal.mp3
332,image,A2,3,i,görüntü/imaj,The class discussed the image after the video.,This example shows the image clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/image-us.mp3
333,imagination,A2,3,i,hayal gücü,Children use imagination when they play.,The story shows great imagination.,,https://api.dictionaryapi.dev/media/pronunciations/en/imagination-us.mp3
334,impact,A2,3,i,etki,The impact was part of the story.,She noticed the impact during the lesson.,,https://api.dictionaryapi.dev/media/pronunciations/en/impact-uk.mp3
335,impatient,A2,3,i,sabırsız,The child was impatient in the dark room.,My friend became impatient during the lesson.,,https://api.dictionaryapi.dev/media/pronunciations/en/impatient-us.mp3
336,importance,A2,3,i,önem,The teacher explained the importance of sleep.,We understand the importance of clean water.,,https://api.dictionaryapi.dev/media/pronunciations/en/importance-us.mp3
337,importantly,A2,3,i,önemli şekilde,She spoke importantly during the meeting.,The team worked importantly on the final task.,,/uploads/audio/words/importantly.mp3
338,impossible,A2,3,i,imkansız,It was an impossible day for a walk.,He gave me an impossible smile after class.,,https://api.dictionaryapi.dev/media/pronunciations/en/impossible-us.mp3
339,impress,A2,3,i,etkilemek,The team will impress the issue tomorrow.,I hope to impress this skill with practice.,,https://api.dictionaryapi.dev/media/pronunciations/en/impress-us-noun.mp3
340,jam,A2,3,j,reçel/sıkışıklık,I put strawberry jam on my bread.,We were late because of a traffic jam.,,https://api.dictionaryapi.dev/media/pronunciations/en/jam-uk.mp3
341,jelly,A2,3,j,jöle,The jelly tasted good with tea.,My sister put the jelly on a plate.,,https://api.dictionaryapi.dev/media/pronunciations/en/jelly-au.mp3
342,joke,A2,3,j,şaka,The team will joke the issue tomorrow.,I hope to joke this skill with practice.,,https://api.dictionaryapi.dev/media/pronunciations/en/joke-us.mp3
343,journey,A2,3,j,yolculuk,The journey was part of the story.,She noticed the journey during the lesson.,,https://api.dictionaryapi.dev/media/pronunciations/en/journey-uk.mp3
344,joy,A2,3,j,sevinç,He pointed to the joy on the page.,The joy appeared near the end of the story.,,https://api.dictionaryapi.dev/media/pronunciations/en/joy-us.mp3
345,junior,A2,3,j,genç/alt seviye,The junior answer was easy to understand.,We found a junior place to rest.,,https://api.dictionaryapi.dev/media/pronunciations/en/junior-uk.mp3
346,junk,A2,3,j,çöp,The junk was part of the story.,She noticed the junk during the lesson.,,https://api.dictionaryapi.dev/media/pronunciations/en/junk-au.mp3
347,killer,A2,3,k,katil,He pointed to the killer on the page.,The killer appeared near the end of the story.,,https://api.dictionaryapi.dev/media/pronunciations/en/killer-us.mp3
348,kilo,A2,3,k,kilo,We saw the kilo near the window.,My friend described the kilo very clearly.,,/uploads/audio/words/kilo.mp3
349,kindly,A2,3,k,nazikçe,She spoke kindly during the meeting.,The team worked kindly on the final task.,,https://api.dictionaryapi.dev/media/pronunciations/en/kindly-us.mp3
350,kingdom,A2,3,k,krallık,The kingdom was quiet in the morning.,We found the kingdom at the end of the street.,,https://api.dictionaryapi.dev/media/pronunciations/en/kingdom-us.mp3
351,kit,A2,3,k,set/takım,We saw the kit near the window.,My friend described the kit very clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/kit-us.mp3
352,knock,A2,3,k,vurmak/kapıyı çalmak,They plan to knock the problem this week.,She tried to knock the task before dinner.,,https://api.dictionaryapi.dev/media/pronunciations/en/knock-au.mp3
353,knowledge,A2,3,k,bilgi,Reading gives you more knowledge.,Her knowledge of history is strong.,,https://api.dictionaryapi.dev/media/pronunciations/en/knowledge-us.mp3
354,lack,A2,3,l,eksiklik,A lack of sleep can make you tired.,The team noticed a lack of clear rules.,,https://api.dictionaryapi.dev/media/pronunciations/en/lack-us.mp3
355,lake,A2,3,l,göl,They waited near the lake after lunch.,She took a photo of the lake in town.,,https://api.dictionaryapi.dev/media/pronunciations/en/lake-uk.mp3
356,lamp,A2,3,l,lamba,He pointed to the lamp on the page.,The lamp appeared near the end of the story.,,https://api.dictionaryapi.dev/media/pronunciations/en/lamp-uk.mp3
357,land,A2,3,l,kara/arazi,The plane will land at noon.,They bought land near the village.,,https://api.dictionaryapi.dev/media/pronunciations/en/land-us.mp3
358,landscape,A2,3,l,manzara,The landscape was part of the story.,She noticed the landscape during the lesson.,,/uploads/audio/words/landscape.mp3
359,lane,A2,3,l,şerit/yol,He pointed to the lane on the page.,The lane appeared near the end of the story.,,https://api.dictionaryapi.dev/media/pronunciations/en/lane-us.mp3
360,last,A2,3,l,son/sürmek,We saw the last near the window.,My friend described the last very clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/last-us.mp3
361,latest,A2,3,l,en son,The latest room felt calm and safe.,She chose a latest jacket for the trip.,,https://api.dictionaryapi.dev/media/pronunciations/en/latest-us.mp3
362,latter,A2,3,l,ikincisi/sonraki,It was a latter day for a walk.,He gave me a latter smile after class.,,https://api.dictionaryapi.dev/media/pronunciations/en/latter-us.mp3
363,law,A2,3,l,kanun,The law protects workers.,He studies law at university.,,https://api.dictionaryapi.dev/media/pronunciations/en/law-au.mp3
364,lawyer,A2,3,l,avukat,The lawyer helped a child near the door.,A friendly lawyer smiled during the meeting.,,https://api.dictionaryapi.dev/media/pronunciations/en/lawyer-us.mp3
365,mad,A2,3,m,kızgın/deli,It was a mad day for a walk.,He gave me a mad smile after class.,,https://api.dictionaryapi.dev/media/pronunciations/en/mad-us.mp3
366,magic,A2,3,m,sihir,We saw a magic pattern in the results.,His magic style made the story stronger.,,https://api.dictionaryapi.dev/media/pronunciations/en/magic-us.mp3
367,mainly,A2,3,m,çoğunlukla,They walked mainly through the quiet hall.,The student listened mainly to the story.,,/uploads/audio/words/mainly.mp3
368,major,A2,3,m,büyük/ana,It was a major day for a walk.,He gave me a major smile after class.,,https://api.dictionaryapi.dev/media/pronunciations/en/major-au.mp3
369,make-up,A2,3,m,makyaj,I cleaned the make-up before dinner.,The small make-up fell from the shelf.,,/uploads/audio/words/make_up.mp3
370,maker,A2,3,m,yapımcı,The maker was part of the story.,She noticed the maker during the lesson.,,/uploads/audio/words/maker.mp3
371,male,A2,3,m,erkek,The male bird has bright colors.,A male student answered first.,,https://api.dictionaryapi.dev/media/pronunciations/en/male-us.mp3
372,mall,A2,3,m,alışveriş merkezi,People gathered outside the mall.,The old mall looked clean and bright.,,https://api.dictionaryapi.dev/media/pronunciations/en/mall-au.mp3
373,manage,A2,3,m,yönetmek/başarmak,They plan to manage the problem this week.,She tried to manage the task before dinner.,,https://api.dictionaryapi.dev/media/pronunciations/en/manage-us.mp3
374,manager,A2,3,m,yönetici,The manager arrived early for work.,Everyone thanked the manager after lunch.,,https://api.dictionaryapi.dev/media/pronunciations/en/manager-us.mp3
375,manner,A2,3,m,tavır/biçim,We saw the manner near the window.,My friend described the manner very clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/manner-us.mp3
376,napkin,A2,3,n,peçete,She put the napkin beside her bag.,He found a napkin under the chair.,,/uploads/audio/words/napkin.mp3
377,nation,A2,3,n,ulus,The class discussed the nation after the video.,This example shows the nation clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/nation-us.mp3
378,national,A2,3,n,ulusal,We saw a national pattern in the results.,His national style made the story stronger.,,https://api.dictionaryapi.dev/media/pronunciations/en/national-us.mp3
379,native,A2,3,n,yerli/ana dili,The native detail changed the whole plan.,She gave a native answer in class.,,https://api.dictionaryapi.dev/media/pronunciations/en/native-us.mp3
380,natural,A2,3,n,doğal,This natural example helped the students.,The report used a natural idea clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/natural-us.mp3
381,nature,A2,3,n,doğa,We walked in nature on Sunday.,Nature is beautiful after rain.,,https://api.dictionaryapi.dev/media/pronunciations/en/nature-uk.mp3
382,nearly,A2,3,n,neredeyse,He answered nearly when the teacher asked.,The machine moved nearly across the floor.,,https://api.dictionaryapi.dev/media/pronunciations/en/nearly-us.mp3
383,necessary,A2,3,n,gerekli,This necessary example helped the students.,The report used a necessary idea clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/necessary-us.mp3
384,negative,A2,3,n,olumsuz,We saw a negative pattern in the results.,His negative style made the story stronger.,,https://api.dictionaryapi.dev/media/pronunciations/en/negative-us.mp3
385,nervous,A2,3,n,gergin,She felt nervous before the test.,He looked nervous after the phone call.,,https://api.dictionaryapi.dev/media/pronunciations/en/nervous-au.mp3
386,oak,A2,3,o,meşe,He pointed to the oak on the page.,The oak appeared near the end of the story.,,https://api.dictionaryapi.dev/media/pronunciations/en/oak-us.mp3
387,occupation,A2,3,o,meslek/uğraş,The occupation changed the final result.,The story included a clear occupation.,,https://api.dictionaryapi.dev/media/pronunciations/en/occupation-us.mp3
388,offer,A2,3,o,teklif etmek,They plan to offer the problem this week.,She tried to offer the task before dinner.,,https://api.dictionaryapi.dev/media/pronunciations/en/offer-us.mp3
389,official,A2,3,o,resmi/görevli,The official result came this morning.,A city official answered our question.,,https://api.dictionaryapi.dev/media/pronunciations/en/official-us.mp3
390,oil,A2,3,o,yağ/petrol,She cooked the eggs in oil.,The ship carried oil across the sea.,,https://api.dictionaryapi.dev/media/pronunciations/en/oil-uk.mp3
391,olympic,A2,3,o,olimpik,The olympic detail changed the whole plan.,She gave an olympic answer in class.,,/uploads/audio/words/olympic.mp3
392,onion,A2,3,o,soğan,The onion tasted good with tea.,My sister put the onion on a plate.,,https://api.dictionaryapi.dev/media/pronunciations/en/onion-uk.mp3
393,online,A2,3,o,çevrim içi,The online answer was easy to understand.,We found an online place to rest.,,https://api.dictionaryapi.dev/media/pronunciations/en/online.mp3
394,operate,A2,3,o,çalıştırmak/ameliyat etmek,They plan to operate the problem this week.,She tried to operate the task before dinner.,,https://api.dictionaryapi.dev/media/pronunciations/en/operate-us.mp3
395,opinion,A2,3,o,görüş,What is your opinion about this film?,She gave her opinion politely.,,https://api.dictionaryapi.dev/media/pronunciations/en/opinion-us.mp3
396,pacific,A2,3,p,pasifik/barışçıl,We saw a pacific pattern in the results.,His pacific style made the story stronger.,,https://api.dictionaryapi.dev/media/pronunciations/en/pacific-us.mp3
397,pack,A2,3,p,paketlemek/paket,Please pack your bag tonight.,He bought a pack of cards.,,https://api.dictionaryapi.dev/media/pronunciations/en/pack-au.mp3
398,painter,A2,3,p,ressam,The painter arrived early for work.,Everyone thanked the painter after lunch.,,https://api.dictionaryapi.dev/media/pronunciations/en/painter-us.mp3
399,pal,A2,3,p,arkadaş,We saw a pal pattern in the results.,His pal style made the story stronger.,,https://api.dictionaryapi.dev/media/pronunciations/en/pal-uk.mp3
400,pan,A2,3,p,tava,She fried eggs in a small pan.,The hot pan was on the stove.,,https://api.dictionaryapi.dev/media/pronunciations/en/pan-us.mp3
401,panic,A2,3,p,panik,She began to panic when the music started.,They will panic outside if the weather is good.,,https://api.dictionaryapi.dev/media/pronunciations/en/panic-us.mp3
402,part,A2,3,p,parça/bölüm,We saw the part near the window.,My friend described the part very clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/part-us.mp3
403,partly,A2,3,p,kısmen,They walked partly through the quiet hall.,The student listened partly to the story.,,https://api.dictionaryapi.dev/media/pronunciations/en/partly-us.mp3
404,pass,A2,3,p,geçmek,We need to pass the plan carefully.,He decided to pass it after the meeting.,,https://api.dictionaryapi.dev/media/pronunciations/en/pass-us.mp3
405,passage,A2,3,p,geçit/metin parçası,Read the short passage carefully.,The narrow passage leads to the garden.,,https://api.dictionaryapi.dev/media/pronunciations/en/passage-1-us.mp3
406,passenger,A2,3,p,yolcu,The passenger helped a child near the door.,A friendly passenger smiled during the meeting.,,https://api.dictionaryapi.dev/media/pronunciations/en/passenger-us.mp3
407,quality,A2,3,q,kalite,The quality of the phone is good.,This shop sells high-quality tea.,,https://api.dictionaryapi.dev/media/pronunciations/en/quality-us.mp3
408,queen,A2,3,q,kraliçe,We saw the queen near the window.,My friend described the queen very clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/queen-us.mp3
409,quick,A2,3,q,hızlı,The quick room felt calm and safe.,She chose a quick jacket for the trip.,,https://api.dictionaryapi.dev/media/pronunciations/en/quick-au.mp3
410,quietly,A2,3,q,sessizce,He answered quietly when the teacher asked.,The machine moved quietly across the floor.,,https://api.dictionaryapi.dev/media/pronunciations/en/quietly-us.mp3
411,quit,A2,3,q,bırakmak,I saw him quit near the park.,The crowd waited for the show to quit.,,https://api.dictionaryapi.dev/media/pronunciations/en/quit-us.mp3
412,quite,A2,3,q,oldukça,The room is quite warm today.,She was quite happy with her score.,,https://api.dictionaryapi.dev/media/pronunciations/en/quite-1-us.mp3
413,quiz,A2,3,q,kısa sınav,He pointed to the quiz on the page.,The quiz appeared near the end of the story.,,https://api.dictionaryapi.dev/media/pronunciations/en/quiz-us.mp3
414,racket,A2,3,r,raket/gürültü,He bought a new tennis racket.,The children made a loud racket outside.,,https://api.dictionaryapi.dev/media/pronunciations/en/racket-au.mp3
415,raincoat,A2,3,r,yağmurluk,She put the raincoat beside her bag.,He found a raincoat under the chair.,,https://api.dictionaryapi.dev/media/pronunciations/en/raincoat-us.mp3
416,raise,A2,3,r,yükseltmek/yetiştirmek,They will raise money for the school.,Please raise your hand before speaking.,,https://api.dictionaryapi.dev/media/pronunciations/en/raise-us.mp3
417,range,A2,3,r,aralık/menzil,The price range is very wide.,Mountains cover the range in the north.,,https://api.dictionaryapi.dev/media/pronunciations/en/range-us.mp3
418,rap,A2,3,r,rap,The rap was part of the story.,She noticed the rap during the lesson.,,https://api.dictionaryapi.dev/media/pronunciations/en/rap-uk.mp3
419,rate,A2,3,r,oran/puanlamak,The hotel has a high rate this week.,Please rate the meal after dinner.,,https://api.dictionaryapi.dev/media/pronunciations/en/rate-us.mp3
420,rather,A2,3,r,oldukça/tercihen,The test was rather easy.,I would rather stay at home tonight.,,https://api.dictionaryapi.dev/media/pronunciations/en/rather-us.mp3
421,rating,A2,3,r,derecelendirme,The rating room felt calm and safe.,She chose a rating jacket for the trip.,,/uploads/audio/words/rating.mp3
422,raw,A2,3,r,çiğ/ham,Do not eat raw chicken.,The report used raw data from the survey.,,/uploads/audio/words/raw.mp3
423,ray,A2,3,r,ışın,We saw the ray near the window.,My friend described the ray very clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/ray-us.mp3
424,reach,A2,3,r,ulaşmak,They plan to reach the problem this week.,She tried to reach the task before dinner.,,https://api.dictionaryapi.dev/media/pronunciations/en/reach-us.mp3
425,sadly,A2,3,s,üzgünce,She spoke sadly during the meeting.,The team worked sadly on the final task.,,https://api.dictionaryapi.dev/media/pronunciations/en/sadly-us.mp3
426,safe,A2,3,s,güvenli,The safe answer was easy to understand.,We found a safe place to rest.,,https://api.dictionaryapi.dev/media/pronunciations/en/safe-us.mp3
427,sailing,A2,3,s,yelken sporu,The sailing was part of the story.,She noticed the sailing during the lesson.,,https://api.dictionaryapi.dev/media/pronunciations/en/sailing-us.mp3
428,sake,A2,3,s,uğruna,He pointed to the sake on the page.,The sake appeared near the end of the story.,,https://api.dictionaryapi.dev/media/pronunciations/en/sake-1-us.mp3
429,salt,A2,3,s,tuz,We shared the salt at lunch.,The cook used salt in the meal.,,https://api.dictionaryapi.dev/media/pronunciations/en/salt-uk.mp3
430,sample,A2,3,s,örnek,The sample was part of the story.,She noticed the sample during the lesson.,,/uploads/audio/words/sample.mp3
431,sandy,A2,3,s,kumlu,It was a sandy day for a walk.,He gave me a sandy smile after class.,,https://api.dictionaryapi.dev/media/pronunciations/en/sandy-us.mp3
432,satisfy,A2,3,s,tatmin etmek,The team will satisfy the issue tomorrow.,I hope to satisfy this skill with practice.,,https://api.dictionaryapi.dev/media/pronunciations/en/satisfy-us.mp3
433,sauce,A2,4,s,sos,She ate a sauce after school.,He bought a fresh sauce at the market.,,https://api.dictionaryapi.dev/media/pronunciations/en/sauce-au.mp3
434,sausage,A2,4,s,sosis,The sausage tasted good with tea.,My sister put the sausage on a plate.,,https://api.dictionaryapi.dev/media/pronunciations/en/sausage-us.mp3
435,scale,A2,4,s,ölçek/tartı,The map uses a small scale.,She stood on the scale at the clinic.,,https://api.dictionaryapi.dev/media/pronunciations/en/scale-au.mp3
436,tablespoon,A2,4,t,yemek kaşığı,The tablespoon was part of the story.,She noticed the tablespoon during the lesson.,,https://api.dictionaryapi.dev/media/pronunciations/en/tablespoon-au.mp3
437,talent,A2,4,t,yetenek,He pointed to the talent on the page.,The talent appeared near the end of the story.,,https://api.dictionaryapi.dev/media/pronunciations/en/talent-us.mp3
438,tap,A2,4,t,musluk/dokunmak,Turn off the tap after washing your hands.,Tap the screen to start the game.,,https://api.dictionaryapi.dev/media/pronunciations/en/tap-us.mp3
439,tape,A2,4,t,bant/kaset,She used tape to fix the box.,My father found an old music tape.,,https://api.dictionaryapi.dev/media/pronunciations/en/tape-us.mp3
440,target,A2,4,t,hedef,He pointed to the target on the page.,The target appeared near the end of the story.,,https://api.dictionaryapi.dev/media/pronunciations/en/target-au.mp3
441,task,A2,4,t,görev,This task is not difficult.,Finish the task before lunch.,,https://api.dictionaryapi.dev/media/pronunciations/en/task-1-us.mp3
442,tear,A2,4,t,gözyaşı/yırtmak,A tear ran down her cheek.,Do not tear the paper.,,/uploads/audio/words/tear.mp3
443,teenage,A2,4,t,ergenlik dönemi,The class discussed the teenage after the video.,This example shows the teenage clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/teenage-1-au.mp3
444,teenager,A2,4,t,ergen,A young teenager waited outside the room.,The teenager spoke kindly to us.,,https://api.dictionaryapi.dev/media/pronunciations/en/teenager-us.mp3
445,temperature,A2,4,t,sıcaklık,The temperature is high today.,Check the temperature before you go out.,,https://api.dictionaryapi.dev/media/pronunciations/en/temperature-us.mp3
446,terrify,A2,4,t,korkutmak,We need to terrify the plan carefully.,He decided to terrify it after the meeting.,,/uploads/audio/words/terrify.mp3
447,uncertain,A2,4,u,belirsiz,The uncertain answer was easy to understand.,We found an uncertain place to rest.,,https://api.dictionaryapi.dev/media/pronunciations/en/uncertain-us.mp3
448,uncomfortable,A2,4,u,rahatsız,She felt uncomfortable before the test.,He looked uncomfortable after the phone call.,,https://api.dictionaryapi.dev/media/pronunciations/en/uncomfortable-us.mp3
449,understand,A2,4,u,anlamak,We can understand the problem step by step.,He began to understand the answer during class.,,https://api.dictionaryapi.dev/media/pronunciations/en/understand-uk.mp3
450,underwater,A2,4,u,su altı,The underwater answer was easy to understand.,We found an underwater place to rest.,,/uploads/audio/words/underwater.mp3
451,uneasy,A2,4,u,huzursuz,She felt uneasy before the test.,He looked uneasy after the phone call.,,/uploads/audio/words/uneasy.mp3
452,unfair,A2,4,u,haksız,It was an unfair day for a walk.,He gave me an unfair smile after class.,,https://api.dictionaryapi.dev/media/pronunciations/en/unfair-us.mp3
453,unforgettable,A2,4,u,unutulmaz,The unforgettable answer was easy to understand.,We found an unforgettable place to rest.,,/uploads/audio/words/unforgettable.mp3
454,unfortunately,A2,4,u,ne yazık ki,He answered unfortunately when the teacher asked.,The machine moved unfortunately across the floor.,,https://api.dictionaryapi.dev/media/pronunciations/en/unfortunately-us.mp3
455,unhappy,A2,4,u,mutsuz,The child was unhappy in the dark room.,My friend became unhappy during the lesson.,,https://api.dictionaryapi.dev/media/pronunciations/en/unhappy-us.mp3
456,unhealthy,A2,4,u,sağlıksız,The unhealthy answer was easy to understand.,We found an unhealthy place to rest.,,/uploads/audio/words/unhealthy.mp3
457,valley,A2,4,v,vadi,They waited near the valley after lunch.,She took a photo of the valley in town.,,https://api.dictionaryapi.dev/media/pronunciations/en/valley-uk.mp3
458,value,A2,4,v,değer,This ring has great value.,The value of honesty is clear.,,https://api.dictionaryapi.dev/media/pronunciations/en/value-us.mp3
459,verb,A2,4,v,fiil,We saw the verb near the window.,My friend described the verb very clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/verb-us.mp3
460,view,A2,4,v,görüş/manzara,The hotel room has a sea view.,I respect your view on this topic.,,https://api.dictionaryapi.dev/media/pronunciations/en/view-us.mp3
461,village,A2,4,v,köy,The village was quiet in the morning.,We found the village at the end of the street.,,https://api.dictionaryapi.dev/media/pronunciations/en/village-au.mp3
462,violent,A2,4,v,şiddetli,The violent answer was easy to understand.,We found a violent place to rest.,,https://api.dictionaryapi.dev/media/pronunciations/en/violent-us.mp3
463,violin,A2,4,v,keman,The violin was part of the story.,She noticed the violin during the lesson.,,https://api.dictionaryapi.dev/media/pronunciations/en/violin-us.mp3
464,visitor,A2,4,v,ziyaretçi,The visitor arrived early for work.,Everyone thanked the visitor after lunch.,,https://api.dictionaryapi.dev/media/pronunciations/en/visitor-us.mp3
465,vocabulary,A2,4,v,kelime bilgisi,We saw a vocabulary pattern in the results.,His vocabulary style made the story stronger.,,https://api.dictionaryapi.dev/media/pronunciations/en/vocabulary-us.mp3
466,voice,A2,4,v,ses,Her voice is soft and calm.,I heard a voice in the hallway.,,https://api.dictionaryapi.dev/media/pronunciations/en/voice-us.mp3
467,walking,A2,4,w,yürüyüş,He pointed to the walking on the page.,The walking appeared near the end of the story.,,https://api.dictionaryapi.dev/media/pronunciations/en/walking-us.mp3
468,wallet,A2,4,w,cüzdan,I cleaned the wallet before dinner.,The small wallet fell from the shelf.,,https://api.dictionaryapi.dev/media/pronunciations/en/wallet-au.mp3
469,wander,A2,4,w,dolaşmak,We like to wander through the old streets.,The child may wander away from the group.,,https://api.dictionaryapi.dev/media/pronunciations/en/wander-us.mp3
470,washing-up,A2,4,w,bulaşık yıkama,The washing-up was on the wooden table.,My brother carried the washing-up to school.,,/uploads/audio/words/washing_up.mp3
471,wave,A2,4,w,dalga/el sallamak,A large wave hit the beach.,Please wave when you see the bus.,,https://api.dictionaryapi.dev/media/pronunciations/en/wave-us.mp3
472,weak,A2,4,w,zayıf,The weak room felt calm and safe.,She chose a weak jacket for the trip.,,https://api.dictionaryapi.dev/media/pronunciations/en/weak-us.mp3
473,wealth,A2,4,w,zenginlik,The class discussed the wealth after the video.,This example shows the wealth clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/wealth-us.mp3
474,web,A2,4,w,web/ağ,We saw the web near the window.,My friend described the web very clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/web-us.mp3
